,Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat,mean_make_price_by_year
760,Toyota,Prius,2015,Hatchback,165000.0,1800.0,Hybrid,10200.0,23571.42857142857,Automatic,Medium,12609.263414634146
761,BMW,5 Series,2000,Sedan,227000.0,2000.0,Petrol,5490.0,10318.181818181818,Manual,Medium,4076.9080459770116
762,BMW,5 Series,2005,Sedan,256105.0,2500.0,Metan/Propan,7599.0,15065.0,Automatic,Medium,7138.846153846154
763,Honda,CR-V,2004,Crossover,225000.0,2000.0,Metan/Propan,6800.0,12500.0,Automatic,Medium,4828.692307692308
764,Lexus,RX Series,2010,Crossover,241000.0,3500.0,Hybrid,19999.0,20083.33333333333,Automatic,Medium,18080.130434782608
765,Renault,Grand Scenic,2015,Universal,177000.0,1500.0,Diesel,8900.0,25285.714285714286,Automatic,Medium,9233.55487804878
766,Volkswagen,Jetta,2013,Sedan,119000.0,1400.0,Petrol,8500.0,13222.222222222224,Automatic,Medium,9820.495192307691
767,Renault,Scenic,2013,Hatchback,124000.0,1500.0,Diesel,8490.0,13777.777777777776,Manual,Medium,7010.775280898876
768,Skoda,Roomster,2008,Universal,229000.0,1400.0,Metan/Propan,3999.0,16357.142857142857,Manual,Medium,5855.696629213483
769,Peugeot,207,2009,Hatchback,175000.0,1400.0,Petrol,5200.0,13461.53846153846,Automatic,Medium,4229.285714285715
770,BMW,3 Series,2012,Sedan,223000.0,2000.0,Diesel,13500.0,22300.0,Manual,Medium,16559.756097560974
771,Toyota,Land Cruiser Prado,2014,Universal,102000.0,2700.0,Metan/Propan,24900.0,12750.0,Automatic,Medium,11659.633802816901
772,Toyota,Corolla,2006,Hatchback,176850.0,1600.0,Metan/Propan,4499.0,11053.125,Manual,Medium,6242.043689320389
773,Volkswagen,Passat,2017,Sedan,120000.0,1800.0,Petrol,12900.0,24000.0,Automatic,Medium,14984.260273972603
774,Skoda,Octavia,2017,Universal,123600.0,1400.0,Metan/Propan,12350.0,24720.0,Automatic,Medium,16243.589285714286
775,Skoda,Kodiaq,2018,Crossover,25000.0,2000.0,Petrol,27999.0,6250.0,Automatic,Small,19531.326923076922
776,Rare,Sebring,2011,Sedan,86000.0,2400.0,Metan/Propan,6999.0,7818.181818181818,Automatic,Small,9787.630952380952
777,Mercedes,Vito,2007,Minivan,280788.0,2200.0,Diesel,8490.0,18719.2,Manual,Medium,9078.318965517241
778,BMW,1 Series,2012,Hatchback,103640.0,1600.0,Petrol,9199.0,10364.0,Manual,Medium,16559.756097560974
779,Honda,CR-V,2020,Crossover,8000.0,2000.0,Hybrid,31900.0,4000.0,Automatic,Small,21073.0
780,Skoda,Octavia,2012,Hatchback,176000.0,1400.0,Petrol,5800.0,17600.0,Manual,Medium,6892.287878787879
781,Opel,Zafira,2005,Minivan,245000.0,1800.0,Metan/Propan,4490.0,14411.764705882351,Manual,Medium,3389.5774647887324
782,Mercedes,C Class,2005,Sedan,249000.0,1800.0,Metan/Propan,5990.0,14647.058823529413,Manual,Medium,6184.598360655737
783,Skoda,Fabia,2010,Universal,221300.0,1200.0,Metan/Propan,3800.0,18441.666666666668,Manual,Medium,6247.584615384615
784,BMW,5 Series,2012,Sedan,170000.0,2000.0,Petrol,12999.0,17000.0,Automatic,Medium,16559.756097560974
785,Hyundai,Tucson,2016,Crossover,55000.0,1600.0,Petrol,14300.0,9166.666666666666,Automatic,Small,16225.262295081968
786,Rare,Freelander,2007,Crossover,223000.0,2200.0,Diesel,7999.0,14866.666666666666,Manual,Medium,5635.166666666667
787,Volkswagen,Sharan,2011,Minivan,155000.0,1400.0,Petrol,9499.0,14090.90909090909,Manual,Medium,8706.567765567766
788,Audi,Q3,2016,SUV,146000.0,2000.0,Petrol,12300.0,24333.33333333333,Automatic,Medium,26658.340909090908
789,Toyota,Avensis,2010,Sedan,270000.0,1996.0,Diesel,8250.0,22500.0,Manual,Medium,8341.671957671957
790,Rare,9000,1995,Hatchback,275000.0,2300.0,Petrol,36000.0,10185.185185185184,Manual,Medium,4079.6363636363635
791,Ford,Focus,2014,Hatchback,121000.0,1000.0,Petrol,6300.0,15125.0,Manual,Medium,10457.632911392406
792,Renault,Grand Scenic,2014,Minivan,161000.0,1500.0,Diesel,9200.0,20125.0,Automatic,Medium,7494.014598540146
793,Rare,Range Rover,2006,Crossover,214000.0,3600.0,Diesel,13350.0,13375.0,Automatic,Medium,5889.121621621622
794,Renault,Espace,2005,Minivan,23000.0,2000.0,Metan/Propan,3900.0,1352.9411764705883,Manual,Small,2986.1383647798743
795,Rare,Nemo,2010,Combi,267000.0,1400.0,Diesel,3850.0,22250.0,Manual,Medium,8081.102564102564
796,Mercedes,Vito,2014,Minivan,230000.0,2200.0,Diesel,15990.0,28750.0,Automatic,Medium,20352.72972972973
797,Volkswagen,Jetta,2013,Sedan,198000.0,1400.0,Hybrid,8600.0,22000.0,Automatic,Medium,9820.495192307691
798,Honda,Clarity,2018,Sedan,82000.0,1500.0,Plug-in Hybrid,18500.0,20500.0,Automatic,Medium,18409.26923076923
799,BMW,X3,2010,Crossover,220000.0,2000.0,Diesel,9700.0,18333.33333333333,Automatic,Medium,15793.89393939394
800,Hyundai,i30,2017,Hatchback,40718.0,1000.0,Petrol,10700.0,8143.6,Manual,Small,16343.520408163266
801,Lexus,RX Series,2004,SUV,216000.0,2995.0,Metan/Propan,8800.0,12000.0,Automatic,Medium,7727.785714285715
802,BMW,X3,2014,Crossover,170000.0,2000.0,Diesel,21500.0,21250.0,Automatic,Medium,22369.18656716418
803,BMW,5 Series,2004,Sedan,356000.0,3000.0,Diesel,8500.0,19777.777777777777,Automatic,Medium,6565.737588652482
804,Mercedes,E Class,2017,Universal,166000.0,1950.0,Diesel,22990.0,33200.0,Automatic,Large,31642.757009345794
805,Honda,Accord,2010,Sedan,234000.0,1994.0,Petrol,10499.0,19500.0,Automatic,Medium,9121.160714285714
806,Volkswagen,Transporter,2011,Minivan,210000.0,2000.0,Diesel,10500.0,19090.90909090909,Automatic,Medium,8706.567765567766
807,Renault,Clio,2016,Hatchback,36000.0,1500.0,Diesel,9500.0,6000.0,Automatic,Small,11394.831275720164
808,Ford,Taurus,1989,Sedan,45000.0,2300.0,Petrol,1200.0,1363.6363636363635,Automatic,Small,1010.0
809,Rare,F-PACE,2018,Crossover,69000.0,1997.0,Petrol,33000.0,17250.0,Automatic,Medium,41861.15873015873
810,Hyundai,i20,2012,Hatchback,136454.0,1300.0,Petrol,4950.0,13645.4,Manual,Medium,9105.966666666667
811,Honda,Accord,2008,Sedan,165000.0,1997.0,Petrol,9100.0,11785.714285714286,Manual,Medium,6833.9655172413795
812,Skoda,Fabia,2015,Universal,107000.0,1400.0,Diesel,8500.0,15285.714285714286,Automatic,Medium,12547.511811023622
813,Rare,Freelander,2007,Crossover,134000.0,2200.0,Diesel,10300.0,8933.333333333334,Automatic,Small,5635.166666666667
814,Audi,Q5,2013,Crossover,126590.0,2000.0,Petrol,18000.0,14065.555555555557,Automatic,Medium,16680.18
815,Mercedes,V Class,2014,Minivan,170000.0,220.0,Diesel,28500.0,21250.0,Automatic,Medium,20352.72972972973
816,Toyota,Prius,2010,Hatchback,208000.0,1800.0,Petrol,7899.0,17333.333333333332,Automatic,Medium,8341.671957671957
817,Rare,Ibiza,2010,Universal,223000.0,1200.0,Diesel,4500.0,18583.33333333333,Manual,Medium,8081.102564102564
818,Skoda,Superb,2009,Sedan,280000.0,2000.0,Diesel,10000.0,21538.46153846154,Automatic,Medium,6003.921259842519
819,BMW,X1,2016,Crossover,32400.0,1999.0,Petrol,24999.0,5400.0,Automatic,Small,25874.947368421053
820,Volkswagen,Touran,2005,Minivan,240000.0,1600.0,Petrol,4850.0,14117.64705882353,Automatic,Medium,5110.029940119761
821,Audi,Q7,2015,SUV,190000.0,3000.0,Diesel,35400.0,27142.85714285714,Automatic,Medium,20316.62162162162
822,Volkswagen,Tiguan,2013,Crossover,180282.0,2000.0,Diesel,14900.0,20031.33333333333,Manual,Medium,9820.495192307691
823,Volkswagen,Caddy,2013,Minivan,119000.0,1600.0,Diesel,8500.0,13222.222222222224,Manual,Medium,9820.495192307691
824,Toyota,Avensis,2013,Universal,200000.0,2200.0,Diesel,10500.0,22222.222222222223,Automatic,Medium,11219.952606635072
825,Dacia,Logan,2006,Sedan,303000.0,1390.0,Metan/Propan,1800.0,18937.5,Manual,Medium,2616.1153846153848
826,Renault,Kadjar,2017,Crossover,162000.0,1496.0,Diesel,12900.0,32400.0,Automatic,Large,12336.33695652174
827,Rare,Panamera,2012,Sedan,87000.0,3000.0,Hybrid,24500.0,8700.0,Automatic,Small,12690.562913907284
828,BMW,5 Series,2003,Sedan,300000.0,2200.0,Petrol,7000.0,15789.473684210529,Manual,Medium,5656.783505154639
830,Opel,Combo,2018,Minivan,19000.0,1400.0,Petrol,10500.0,4750.0,Manual,Small,12084.166666666666
831,Honda,Insight,2010,Hatchback,183000.0,1300.0,Hybrid,6400.0,15250.0,Automatic,Medium,9121.160714285714
832,Volkswagen,Caddy,2009,Combi,146454.0,2000.0,Diesel,3999.0,11265.692307692309,Manual,Medium,6867.01030927835
833,Rare,C1,2012,Hatchback,101211.0,1000.0,Petrol,3750.0,10121.1,Manual,Medium,12690.562913907284
834,Mitsubishi,Outlander,2014,Crossover,171524.0,2000.0,Plug-in Hybrid,13300.0,21440.5,Automatic,Medium,13025.351351351352
835,Honda,CR-V,2014,Crossover,183021.0,1600.0,Diesel,13999.0,22877.625,Manual,Medium,14334.239130434782
836,Audi,Q7,2008,Crossover,248453.0,3600.0,Petrol,13800.0,17746.64285714286,Automatic,Medium,9572.62
837,Skoda,Octavia,2008,Sedan,205121.0,1800.0,Petrol,4999.0,14651.5,Manual,Medium,5855.696629213483
838,Volkswagen,Golf,2012,Universal,147208.0,1400.0,Petrol,7500.0,14720.8,Manual,Medium,9214.12987012987
839,Renault,Grand Scenic,2012,Universal,171200.0,1500.0,Diesel,7300.0,17120.0,Manual,Medium,6612.572916666667
840,Renault,Grand Scenic,2011,Universal,157544.0,1500.0,Diesel,6500.0,14322.181818181818,Manual,Medium,5763.9639175257735
841,Renault,Grand Scenic,2011,Universal,164892.0,1400.0,Petrol,6100.0,14990.181818181818,Manual,Medium,5763.9639175257735
842,Hyundai,Sonata,2016,Sedan,45074.0,2000.0,Plug-in Hybrid,16999.0,7512.333333333333,Automatic,Small,16225.262295081968
843,Renault,Grand Scenic,2011,Universal,156290.0,1500.0,Diesel,7200.0,14208.181818181818,Manual,Medium,5763.9639175257735
844,BMW,5 Series,1999,Sedan,223237.0,2000.0,Metan/Propan,4500.0,9705.95652173913,Manual,Small,3839.9
845,Ford,Mondeo,2018,Universal,103121.0,1500.0,Metan/Propan,11700.0,25780.25,Automatic,Medium,15861.138888888889
